original_startlatitude,original_startlongitude,original_trip_count,distance,formatted,lat,lon,name,housenumber,street,zipcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url,,,,,,
36.10519,-86.81523,1,13.24735011,"Trader Joe's, 3909 Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.1051633,-86.81565513,Trader Joe's,3909,Hillsboro Pike,37215,,Hill Center,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105241,-86.812119,1,102.1252208,"Parnassus Books, 3900 Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.1057423,-86.8130715,Parnassus Books,3900,Hillsboro Pike,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10526,-86.812082,1,103.8191497,"Parnassus Books, 3900 Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.1057423,-86.8130715,Parnassus Books,3900,Hillsboro Pike,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105269,-86.818356,1,89.1649519,"Pedal Chic, 2176 Bandywood Drive, Nashville-Davidson, TN 37215, United States of America",36.1054771,-86.8173975,Pedal Chic,2176,Bandywood Drive,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10531,-86.76164,1,88.75694142,"Rafferty's Restaurant & Bar, 4041 Armory Oaks Drive, Nashville-Davidson, TN 37204, United States of America",36.1047279,-86.762316,Rafferty's Restaurant & Bar,4041,Armory Oaks Drive,37204,,100 Oaks Mall,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105327,-86.798379,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10542,-86.798504,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105456,-86.798479,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10551,-86.81833,1,83.85397735,"Pedal Chic, 2176 Bandywood Drive, Nashville-Davidson, TN 37215, United States of America",36.1054771,-86.8173975,Pedal Chic,2176,Bandywood Drive,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.1056068,-86.8161695,1,67.58232468,"Trader Joe's, 3909 Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.1051633,-86.81565513,Trader Joe's,3909,Hillsboro Pike,37215,,Hill Center,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
